Sample	Dir	Specie	Cluster
SAMN15568943	GCF_025822705.1	flavescens	Mycobacterium
SAMN04489835	GCF_900108565.1	rutilum	Mycobacterium
SAMN20675999	GCF_022317005.1	salfingeri	Mycobacterium
SAMN04481318	GCF_009192875.1	phlei	Mycobacterium
SAMN20254262	GCF_019645835.1	holsaticum	Mycobacterium
SAMN10734567	GCF_004014805.1	elephantis	Mycobacterium
SAMN06064238	GCF_002086605.1	elephantis	Mycobacterium
SAMD00153163	GCF_010725725.1	pulveris	Mycobacterium
SAMN06064262	GCF_002086795.1	tusciae	Mycobacterium
SAMD00153182	GCF_010728925.1	gadium	Mycobacterium
SAMN26536104	GCF_029675005.1	gadium	Mycobacterium
SAMD00153170	GCF_010726765.1	gallinarum	Mycobacterium
SAMN07606483	GCF_002591975.1	neglectum	Mycobacterium
SAMN02256521	GCF_000243415.2	JS617	Mycobacterium
SAMN02261383	GCF_000230895.2	NBB3	Mycobacterium
SAMN06064251	GCF_002086395.1	moriokaense	Mycobacterium
SAMN15568944	GCF_025822765.1	barrassiae	Mycobacterium
SAMN30822140	GCF_025345615.1	deserti	Mycobacterium
SAMEA104417301	GCF_900240945.1	3519A	Mycobacterium
SAMN04634262	GCF_001667505.1	ACS1612	Mycobacterium
SAMN02261384	GCF_000328565.1	JS623	Mycobacterium
SAMN13190077	GCF_014873705.1	OAS707	Mycobacterium
SAMN08778298	GCF_003201655.1	GAS496	Mycobacterium
SAMN08116703	GCF_002838065.1	hubeiense	Mycobacterium
SAMN07733415	GCF_002553505.1	agri	Mycobacterium
SAMN04634189	GCF_001668615.1	1274761	Mycobacterium
SAMN10102143	GCF_003719305.1	stellerae	Mycobacterium
SAMN08578608	GCF_002968285.1	ITM-2016-00318	Mycobacterium
SAMN38084522	GCF_033741175.1	120270	Mycobacterium
SAMN06064249	GCF_002086655.1	monacense	Mycobacterium
SAMN04349502	GCF_001500125.1	IS-1742	Mycobacterium
SAMN04349501	GCF_001499995.1	IS-1496	Mycobacterium
SAMD00153178	GCF_010728155.1	doricum	Mycobacterium
SAMD00153207	GCF_010731695.1	litorale	Mycobacterium
SAMN17013278	GCF_016313185.1	baixiangningiae	Mycobacterium
SAMN16833901	GCF_015910495.1	baixiangningiae	Mycobacterium
SAMD00200502	GCF_014218295.1	NIID-NTM18	Mycobacterium
SAMN04349500	GCF_001499965.1	GA-2829	Mycobacterium
SAMN11249675	GCF_004570325.1	PS03-16	Mycobacterium
SAMN17805296	GCF_017352375.1	gossypii	Mycobacterium
SAMN26635178	GCF_023015925.1	F2034L	Mycobacterium
SAMN15568997	GCF_025821665.1	manitobense	Mycobacterium
SAMN32338864	GCF_027529605.1	manitobense	Mycobacterium
SAMN36451562	GCF_030519285.1	manitobense	Mycobacterium
SAMN33926743	GCF_029623955.1	236(2023)	Mycobacterium
SAMN32597634	GCF_027706845.1	BiH015	Mycobacterium
SAMN04216933	GCF_002101705.1	iranicum	Mycobacterium
SAMN04622670	GCF_001650495.1	H39	Mycobacterium
SAMN12025127	GCF_014190915.1	AT2.18	Mycobacterium
SAMN06064253	GCF_002086815.1	parafortuitum.I	Mycobacterium
SAMD00153162	GCF_010725485.1	parafortuitum.II	Mycobacterium
SAMEA4076702	GCF_900454025.1	gilvum	Mycobacterium
SAMN00713568	GCF_000184435.1	gilvum	Mycobacterium
SAMEA3216266	GCF_001049355.1	aurum	Mycobacterium
SAMEA3138973	GCF_000612725.1	austroafricanum	Mycobacterium
SAMN19987909	GCF_019856655.1	austroafricanum	Mycobacterium
SAMN02470132	GCF_000295825.1	vaccae	Mycobacterium
SAMN04227060	GCF_001545925.1	NAZ190054	Mycobacterium
SAMN20167551	GCF_025263565.1	SMC-8	Mycobacterium
SAMEA5215812	GCF_902705885.1	BC8_1	Mycobacterium
SAMD00153224	GCF_010723735.1	hippocampi	Mycobacterium
SAMN14846999	GCF_013390125.1	DL	Mycobacterium
SAMN15568999	GCF_025821625.1	pyrenivorans	Mycobacterium
SAMN11431104	GCF_005222675.1	CR10	Mycobacterium
SAMD00393830	GCA_026005275.1	NGTWS1803	Mycobacterium
SAMD00153179	GCF_010728325.1	poriferae	Mycobacterium
SAMD00208488	GCF_017312425.1	PO2	Mycobacterium
SAMN17081024	GCF_019710635.1	Y57	Mycobacterium
SAMN06064237	GCF_002086595.1	chubuense	Mycobacterium
SAMD00046518	GCF_001552315.1	chubuense	Mycobacterium
SAMN10871991	GCF_004216875.1	chubuense	Mycobacterium
SAMD00153184	GCF_010729305.1	psychrotolerans	Mycobacterium
SAMN04155656	GCF_001428285.1	psychrotolerans	Mycobacterium
SAMN15569019	GCA_025821255.1	rufum	Mycobacterium
SAMN12158155	GCF_007096635.1	018/SC-01/001	Mycobacterium
SAMN02952053	GCF_001044245.1	obuense	Mycobacterium
SAMN09281965	GCF_003254575.1	obuense	Mycobacterium
SAMN25860347	GCF_022348085.1	PSTR-4-N	Mycobacterium
SAMD00153169	GCF_010726645.1	duvalii	Mycobacterium
SAMN20167676	GCF_025263265.1	SMC-4	Mycobacterium
SAMN02471087	GCF_000234585.1	thermoresistibile	Mycobacterium
SAMEA4888736	GCF_900603025.1	hassiacum	Mycobacterium
SAMN03839023	GCF_001187505.1	X7B	Mycobacterium
SAMN20254253	GCF_022370755.2	goodii	Mycobacterium
SAMEA2517361	GCF_001457595.1	smegmatis	Mycobacterium
SAMN06134492	GCF_002157835.1	dioxanotrophicus	Mycobacterium
SAMN06064228	GCF_002086485.1	aquaticum	Mycobacterium
SAMN15568968	GCF_025822265.1	brisbanense	Mycobacterium
SAMN02471848	GCF_000455145.1	brisbanense	Mycobacterium
SAMN04696145	GCF_001665685.1	SCH5140682	Mycobacterium
SAMN02441709	GCF_000373905.1	155	Mycobacterium
SAMN02441653	GCF_000382405.1	141	Mycobacterium
SAMN27915968	GCF_032883035.1	21AC1	Mycobacterium
SAMN04216957	GCF_002101965.1	wolinskyi	Mycobacterium
SAMN04113082	GCF_001545135.1	wolinskyi	Mycobacterium
SAMEA3138978	GCF_000612825.1	mageritense	Mycobacterium
SAMN04634237	GCF_001666875.1	E802	Mycobacterium
SAMN04634278	GCF_001954135.1	GA-1841	Mycobacterium
SAMN15568919	GCF_025823315.1	houstonense	Mycobacterium
SAMN15569018	GCA_025821245.1	houstonense	Mycobacterium
SAMN35980692	GCF_030486405.1	HK-90	Mycobacterium
SAMN05897976	GCF_001942625.1	syngnathidarum	Mycobacterium
SAMN11043092	GCF_005924235.1	syngnathidarum	Mycobacterium
SAMN20254268	GCF_019645875.1	senegalense	Mycobacterium
SAMN06199452	GCF_001942045.1	HMC1	Mycobacterium
SAMN15568926	GCF_025823105.1	porcinum	Mycobacterium
SAMN05730077	GCF_001722425.1	porcinum	Mycobacterium
SAMN04634260	GCF_001686835.1	porcinum	Mycobacterium
SAMN07733416	GCF_002553535.1	boenickei	Mycobacterium
SAMEA2272699	GCF_000455325.1	septicum	Mycobacterium
SAMN10393184	GCF_003855255.1	septicum	Mycobacterium
SAMN17844879	GCF_016919345.1	septicum	Mycobacterium
SAMN32153154	GCF_028613735.1	septicum	Mycobacterium
SAMN33749009	GCF_029270025.1	septicum	Mycobacterium
SAMN10989809	GCF_004762045.1	DL99	Mycobacterium
SAMEA3481574	GCF_001245615.1	neworleansense	Mycobacterium
SAMN01174788	GCF_000805385.1	setense	Mycobacterium
SAMN02440855	GCF_000426065.1	URHD0025	Mycobacterium
SAMD00436749	GCF_022179545.1	fortuitum	Mycobacterium
SAMN15806909	GCF_020227715.1	fortuitum	Mycobacterium
SAMN04692022	GCF_001667345.1	fortuitum	Mycobacterium
SAMN13155069	GCF_011745145.1	DL440	Mycobacterium
SAMN04216946	GCF_002102345.1	peregrinum	Mycobacterium
SAMN04634257	GCF_001667205.1	peregrinum	Mycobacterium
SAMN04696154	GCF_001665785.1	peregrinum	Mycobacterium
SAMN17673454	GCF_017876775.1	lutetiense	Mycobacterium
SAMD00153173	GCF_010727325.1	alvei	Mycobacterium
SAMN12642634	GCF_009729315.1	CBMA294	Mycobacterium
SAMN12436392	GCF_019050325.1	fortunisiensis	Mycobacterium
SAMN28058330	GCF_029893345.1	AC80	Mycobacterium
SAMEA3138996	GCF_000613185.1	cosmeticum	Mycobacterium
SAMN04216915	GCF_002101555.1	canariasense	Mycobacterium
SAMN31599172	GCF_026240945.1	J2	Mycobacterium
SAMN38084519	GCF_033741155.1	120266	Mycobacterium
SAMN12024888	GCF_011758805.1	fluranthenivorans	Mycobacterium
SAMN15568952	GCF_025822555.1	fluranthenivorans	Mycobacterium
SAMN02729281	GCF_000691525.1	neoaurum	Mycobacterium
SAMN02469804	GCF_000416385.1	VKMAc-1816D	Mycobacterium
SAMN06064232	GCF_002086115.1	bacteremicum	Mycobacterium
SAMN20254259	GCF_019456655.1	diernhoferi	Mycobacterium
SAMEA3914648	GCF_900078775.1	SAMEA3914648	Mycobacterium
SAMN04959083	GCF_001644575.1	adipatum	Mycobacterium
SAMN25085286	GCF_021648845.1	MBM	Mycobacterium
SAMN15568973	GCF_025822145.1	frederiksbergense	Mycobacterium
SAMN08578606	GCF_002968335.1	frederiksbergense	Mycobacterium
SAMN07447409	GCF_008329585.1	P9-22	Mycobacterium
SAMN04155773	GCF_001428895.1	Root265	Mycobacterium
SAMD00239442	GCF_018326285.1	TY81	Mycobacterium
SAMN38084549	GCF_033741115.1	TY81	Mycobacterium
SAMN08339096	GCF_005670685.2	mucogenicum	Mycobacterium
SAMN04634163	GCF_001668705.1	mucogenicum	Mycobacterium
SAMD00153196	GCF_010731115.1	phocaicum	Mycobacterium
SAMN04299488	GCF_001557045.1	phocaicum	Mycobacterium
SAMN04634180	GCF_001665375.1	phocaicum	Mycobacterium
SAMN10799736	GCF_004359045.1	phocaicum	Mycobacterium
SAMD00117553	GCF_003851485.1	phocaicum	Mycobacterium
SAMN31811489	GCF_026501155.1	phocaicum	Mycobacterium
SAMN22157750	GCF_020520165.1	phocaicum	Mycobacterium
SAMN31811490	GCF_026501225.1	21IE208	Mycobacterium
SAMN12642641	GCF_009729075.1	CBMA226	Mycobacterium
SAMN02729876	GCF_001905655.1	ST-F2	Mycobacterium
SAMN04954894	GCF_025331195.1	llatzerense	Mycobacterium
SAMN03295723	GCF_000878195.1	llatzerense	Mycobacterium
SAMN04004267	GCF_001865165.1	llatzerense	Mycobacterium
SAMN08339098	GCF_005670695.1	aubagnennse	Mycobacterium
SAMN06011858	GCF_009729415.1	CBMA234	Mycobacterium
SAMN06579321	GCF_009729395.1	CBMA234	Mycobacterium
SAMN28057932	GCF_029892685.1	OTB74	Mycobacterium
SAMN31488203	GCF_033804635.1	RTGN4	Mycobacterium
SAMN31486590	GCF_033804625.1	RTGN3	Mycobacterium
SAMN28907230	GCF_024320865.1	CAU1645	Mycobacterium
SAMN12660232	GCF_008329645.1	grossiae	Mycobacterium
SAMD00153213	GCF_010731815.2	arabiense	Mycobacterium
SAMN23132885	GCF_021916785.1	lacusdiani	Mycobacterium
SAMD00153209	GCF_010731735.1	sediminis	Mycobacterium
SAMN24737423	GCF_022557175.1	YH-1	Mycobacterium
SAMN02743948	GCF_000620625.1	URHB0044	Mycobacterium
SAMN07447410	GCF_008329605.1	P9-64	Mycobacterium
SAMN14915993	GCF_014202335.1	AZCC_0083	Mycobacterium
SAMN38084454	GCF_033741125.1	50158	Mycobacterium
SAMD00153188	GCF_010729665.1	madagascariense	Mycobacterium
SAMN15568969	GCF_025822245.1	hodleri	Mycobacterium
SAMN07447407	GCF_008329535.1	P1-18	Mycobacterium
SAMN10176386	GCF_006864685.1	ColchesterB	Mycobacterium
SAMN06349362	GCF_002043095.1	ColchesterB	Mycobacterium
SAMN04155726	GCF_001426545.1	Root135	Mycobacterium
SAMN15568918	GCF_025823185.1	yunnanensis	Mycobacterium
SAMN10244993	GCF_006439015.1	S5.20	Mycobacterium
SAMD00573267	GCF_030295745.1	TUM20985	Mycobacterium
SAMN21161762	GCF_021213805.1	MYCO198283	Mycobacterium
SAMN06339708	GCF_002007745.1	F4	Mycobacterium
SAMN10867835	GCF_004745805.1	CH28	Mycobacterium
SAMD00096763	GCF_002723835.1	shizuoka-1	Mycobacterium
SAMN31656079	GCF_026242035.1	pinniadriaticum	Mycobacterium
SAMN07372526	GCF_002250655.1	sphagni	Mycobacterium
SAMN14942828	GCF_013404075.1	vinylchloridicum	Mycobacterium
SAMN02256528	GCF_000230935.1	JS60 	Mycobacterium
SAMN10872004	GCF_004362315.1	BK086	Mycobacterium
SAMD00153217	GCF_010731875.1	sarraceniae	Mycobacterium
SAMN11637231	GCF_013337765.1	ENV482	Mycobacterium
SAMN31488241	GCF_033804465.1	RTGN5	Mycobacterium
SAMD00153218	GCF_010731895.1	helvum	Mycobacterium
SAMN07774437	GCF_002887815.1	ENV421	Mycobacterium
SAMN02585141	GCF_000559085.1	aromaticivorans	Mycobacterium
SAMN06064257	GCF_002086695.1	rhodesiae	Mycobacterium
SAMN09980424	GCF_008329905.1	ELW1	Mycobacterium
SAMEA4076713	GCF_900453085.1	aichiense	Mycobacterium
SAMN20254255	GCF_019456675.1	pallens	Mycobacterium
SAMN06011242	GCF_001886515.1	pallens	Mycobacterium
SAMN20254251	GCA_022370635.2	pallens	Mycobacterium
SAMN03758429	GCF_001021385.1	EPa45	Mycobacterium
SAMN07447405	GCF_008329565.1	P1-5	Mycobacterium
SAMEA3696413	GCF_001494595.1	massilipolynesiensis	Mycobacterium
SAMD00153216	GCF_010731855.1	anyangense	Mycobacterium
SAMN13155068	GCF_011694515.1	DL592	Mycobacterium
SAMN21385979	GCF_022760805.1	alkanivorans	Mycobacterium
SAMN20254270	GCF_022374935.2	virginiense	Mycobacterium
SAMN04634187	GCF_001673575.1	1211594.5	Mycobacterium
SAMEA114267547	GCF_963378105.1	MU0102	Mycobacterium
SAMN29453539	GCA_024758765.1	SVM_VP21	Mycobacterium
SAMEA4979882	GCF_900604305.1	mephinesia	Mycobacterium
SAMN20254261	GCF_019645815.1	heraklionense	Mycobacterium
SAMEA3913389	GCF_900078685.2	icosiumassiliensis	Mycobacterium
SAMN04216939	GCF_002101775.1	nonchromogenicum	Mycobacterium
SAMN04634273	GCF_001953995.1	nonchromogenicum	Mycobacterium
SAMN06064248	GCF_002086405.1	minnesotense	Mycobacterium
SAMN06064230	GCF_002086515.1	arupense	Mycobacterium
SAMN04216930	GCF_002101655.1	hiberniae	Mycobacterium
SAMN03068179	GCF_000972925.1	hiberniae	Mycobacterium
SAMN04216923	GCF_002101585.1	hiberniae	Mycobacterium
SAMN04216937	GCF_002102265.1	longobardum	Mycobacterium
SAMEA114267545	GCF_963378075.1	MU0083	Mycobacterium
SAMN09476217	GCF_003284925.1	GF74	Mycobacterium
SAMN06064225	GCF_002086455.1	algericum	Mycobacterium
SAMN02603865	GCF_000214155.1	algericum	Mycobacterium
SAMD00153200	GCF_010723225.1	senuensis	Mycobacterium
SAMN32979486	GCA_028728255.1	CSUR_Q5927	Mycobacterium
SAMN04634186	GCF_001673565.1	CSUR_Q5927	Mycobacterium
SAMN04634248	GCF_001672735.1	E1876	Mycobacterium
SAMEA4434518	GCF_900187145.1	terrae	Mycobacterium
SAMN06064243	GCF_002086285.1	kumamotonense	Mycobacterium
SAMN20959235	GCF_020181635.1	MYC101	Mycobacterium
SAMN20959233	GCF_020181595.1	MYC101	Mycobacterium
SAMN20062778	GCF_020172685.1	MYC340	Mycobacterium
SAMN20959234	GCF_020181615.1	MYC098	Mycobacterium
SAMN19113909	GCF_018455725.1	acidiphilus	Mycobacterium
SAMN04216956	GCF_002102395.1	triviale	Mycobacterium
SAMN04634181	GCF_001668625.1	1274756.6	Mycobacterium
SAMD00153215	GCF_010731835.1	koreense	Mycobacterium
SAMN20254257	GCF_022370835.2	parakoreense	Mycobacterium
SAMN11101234	GCF_004354905.1	eburneum	Mycobacterium
SAMN06064235	GCF_002086575.1	branderi	Mycobacterium
SAMD00019087	GCF_000759695.1	kyorinense	Mycobacterium
SAMD00098221	GCF_003402475.1	MFM001	Mycobacterium
SAMN04216916	GCF_002101595.1	celatum	Mycobacterium
SAMN04634245	GCF_001672775.1	kyorinense	Mycobacterium
SAMN04216951	GCF_002101905.1	shimoidei	Mycobacterium
SAMN04216927	GCF_002102185.1	fragae	Mycobacterium
SAMEA8898435	GCF_910591625.1	methanotrophicum	Mycobacterium
SAMD00153177	GCF_010727945.1	cookii	Mycobacterium
SAMN04634196	GCF_001673405.1	1245111.1	Mycobacterium
SAMN20254271	GCF_022430545.2	paraterrae	Mycobacterium
SAMN33244890	GCF_030252325.1	wuenschmannii	Mycobacterium
SAMD00153205	GCF_010723305.1	botniense	Mycobacterium
SAMN18118619	GCF_018361265.1	SM1	Mycobacterium
SAMN06064252	GCF_002086415.1	noviomagense	Mycobacterium
SAMEA101170168	GCF_900453395.1	xenopi	Mycobacterium
SAMD00265704	GCF_016592155.1	heckeshornense	Mycobacterium
SAMN04634183	GCF_001673635.1	1275241.6	Mycobacterium
SAMN05202170	GCF_001668675.1	1081914.2	Mycobacterium
SAMEA3138999	GCF_000613245.1	asiaticum	Mycobacterium
SAMN04634169	GCF_001673315.1	1245139.5	Mycobacterium
SAMN04634167	GCF_001673365.1	1165133.8	Mycobacterium
SAMN08222636	GCF_003614435.1	paragordonae	Mycobacterium
SAMN05202166	GCF_001673255.1	paragordonae	Mycobacterium
SAMN13318592	GCF_009733755.1	paragordonae	Mycobacterium
SAMN10799734	GCF_004359035.1	paragordonae	Mycobacterium
SAMN04123344	GCF_001417955.1	CTRI_14-8773	Mycobacterium
SAMN37256842	GCF_031583025.1	CTRI_14-8773	Mycobacterium
SAMN18021193	GCF_017086405.1	X7091	Mycobacterium
SAMN04216929	GCF_002101675.1	gordonae	Mycobacterium
SAMN15540336	GCF_013466425.1	vicinigordonae	Mycobacterium
SAMD00407201	GCF_021654635.1	kiyosense	Mycobacterium
SAMN06064242	GCF_002086275.1	intermedium	Mycobacterium
SAMD00153222	GCF_010723575.1	bourgelatii	Mycobacterium
SAMN16828374	GCF_015689175.1	kubicae	Mycobacterium
SAMN05202164	GCF_001673155.1	1423905.2	Mycobacterium
SAMN04216947	GCF_002101845.1	riyadhense	Mycobacterium
SAMEA104335938	GCF_900232995.1	simulans	Mycobacterium
SAMEA104346610	GCF_900232515.1	simulans	Mycobacterium
SAMN04216953	GCF_002116635.1	szulgai	Mycobacterium
SAMN06064227	GCF_002086155.1	angelicum	Mycobacterium
SAMN07792364	GCF_003391395.1	marinum	Mycobacterium
SAMD00153180	GCF_010728525.1	marinum	Mycobacterium
SAMN20254269	GCA_022374915.2	ulcerans	Mycobacterium
SAMEA104628733	GCF_900292015.1	basiliense	Mycobacterium
SAMN12672811	GCF_008370645.1	JAL-560-SIM	Mycobacterium
SAMEA4938330	GCF_900566085.1	attenuatum	Mycobacterium
SAMN04216928	GCF_002102175.1	gastri	Mycobacterium
SAMN07196566	GCF_002705925.1	ostraviense	Mycobacterium
SAMEA4938324	GCF_900566075.1	pseudokansasii	Mycobacterium
SAMN02603596	GCF_000157895.3	kansasii	Mycobacterium
SAMN06064255	GCF_002086675.1	persicum	Mycobacterium
SAMEA4938327	GCF_900566055.1	innocens	Mycobacterium
SAMD00153198	GCF_010731535.1	lacus	Mycobacterium
SAMN06064260	GCF_002086755.1	shinjukuense	Mycobacterium
SAMN12776813	GCF_018278905.1	spongiae	Mycobacterium
SAMEA3138326	GCF_000195955.2	tuberculosis	Mycobacterium
SAMN06651657	GCF_002104675.1	decipiens	Mycobacterium
SAMN03481272	GCF_000975265.2	lepromatosis	Mycobacterium
SAMEA1705921	GCF_000195855.1	leprae	Mycobacterium
SAMN08894308	GCF_003408705.1	uberis	Mycobacterium
SAMN01918491	GCF_000340435.2	haemophilum	Mycobacterium
SAMN05202168	GCF_001665395.1	1164966.3	Mycobacterium
SAMN04696152	GCF_001667115.1	SCH5372311	Mycobacterium
SAMD00153191	GCF_010730195.1	conspicuum	Mycobacterium
SAMD00153192	GCF_010730355.1	florentinum	Mycobacterium
SAMD00153208	GCF_010731715.1	stomatepiae	Mycobacterium
SAMN31424470	GCF_026625985.1	Aquia_213	Mycobacterium
SAMEA103958175	GCF_900176255.2	ahvazicum	Mycobacterium
SAMN20254258	GCF_022374895.2	lentiflavum	Mycobacterium
SAMN04216955	GCF_002102415.1	triplex	Mycobacterium
SAMN02585006	GCF_000526915.1	genavense	Mycobacterium
SAMN31424471	GCF_026723865.1	Aquia_216	Mycobacterium
SAMN15568917	GCF_025823255.1	montefiorense	Mycobacterium
SAMD00114206	GCF_003112775.1	montefiorense	Mycobacterium
SAMN04634185	GCF_001665235.1	1100029.7	Mycobacterium
SAMEA5775539	GCF_902168065.1	tilburgii	Mycobacterium
SAMD00153175	GCF_010727605.1	simiae	Mycobacterium
SAMN06564598	GCF_002093075.1	simiae	Mycobacterium
SAMN04216950	GCF_002102355.1	sherrisii	Mycobacterium
SAMEA54001918	GCF_900157365.1	numidiamassiliense	Mycobacterium
SAMD00081394	GCF_002356315.1	shigaense	Mycobacterium
SAMEA54078418	GCF_900157375.1	rhizamassiliense	Mycobacterium
SAMEA54120418	GCF_900157385.1	terramassiliense	Mycobacterium
SAMN04216932	GCF_002102225.1	interjectum	Mycobacterium
SAMN15569009	GCF_025821415.1	interjectum	Mycobacterium
SAMN04696148	GCF_001667185.1	SCH5313054	Mycobacterium
SAMN04216942	GCF_002101815.1	paraense	Mycobacterium
SAMN04634211	GCF_001667015.1	E3198	Mycobacterium
SAMN04634243	GCF_001668725.1	E787	Mycobacterium
SAMN04634179	GCF_001665295.1	1554424.7	Mycobacterium
SAMN04634193	GCF_001673535.1	1081908.1	Mycobacterium
SAMN05202169	GCF_001672915.1	1245805.9	Mycobacterium
SAMN04216952	GCF_002101935.1	IEC1808	Mycobacterium
SAMN04287657	GCF_000455205.1	IEC1808	Mycobacterium
SAMN04634250	GCF_001672675.1	IEC1808	Mycobacterium
SAMN04634244	GCF_001672815.1	E796	Mycobacterium
SAMN06064226	GCF_002086635.1	alsense	Mycobacterium
SAMN04634198	GCF_001672935.1	alsense	Mycobacterium
SAMN04692007	GCF_001667035.1	SCH5723018	Mycobacterium
SAMN04216940	GCF_002101785.1	palustre	Mycobacterium
SAMN06064240	GCF_002086215.1	heidelbergense	Mycobacterium
SAMN20254263	GCF_019645855.1	malmoense	Mycobacterium
SAMN04634285	GCF_001954275.1	IS-836	Mycobacterium
SAMN04634283	GCF_001954215.1	IS-2888	Mycobacterium
SAMN31248680	GCF_035616495.1	663a-19	Mycobacterium
SAMN04216948	GCF_002101875.1	saskatchewanense	Mycobacterium
SAMEA6157417	GCF_902652685.1	cambodiense	Mycobacterium
SAMN04216914	GCF_002102025.1	bohemicum	Mycobacterium
SAMN12187686	GCF_007714205.1	helveticum	Mycobacterium
SAMD00153193	GCF_010730575.1	parmense	Mycobacterium
SAMN06064254	GCF_002086475.1	paraseoulense	Mycobacterium
SAMD00153201	GCF_010731595.1	seoulense	Mycobacterium
SAMEA3305049	GCF_001373515.1	europaeum	Mycobacterium
SAMN04634230	GCF_001667665.1	E342	Mycobacterium
SAMEA104417325	GCF_900240975.1	E342	Mycobacterium
SAMN15568988	GCF_025821845.1	nebraskense	Mycobacterium
SAMN04634216	GCF_001667585.1	E2733	Mycobacterium
SAMN04634247	GCF_001672745.1	E1386	Mycobacterium
SAMN04692044	GCF_001667075.1	SCH5900713	Mycobacterium
SAMN15568937	GCF_025822865.1	paraffinicum	Mycobacterium
SAMN04696142	GCF_001665645.1	paraffinicum	Mycobacterium
SAMN06064259	GCF_002086735.1	scrofulaceum	Mycobacterium
SAMN00189881	GCF_000164135.1	parascrofulaceum	Mycobacterium
SAMN04634213	GCF_001686825.1	parascrofulaceum	Mycobacterium
SAMN20167550	GCF_025263485.1	SMC-2	Mycobacterium
SAMN04634218	GCF_001667595.1	E2989	Mycobacterium
SAMN04634268	GCF_001667275.1	E2989	Mycobacterium
SAMN04634229	GCF_001667735.1	E183	Mycobacterium
SAMN04634217	GCF_001672575.1	E2838	Mycobacterium
