AncId, Desc1, Desc2, Branch Length 1, Branch Length 2
442, GCF 000613185.1, GCF 002101555.1, 0.0370474793, 0.0385590465
443, GCF 000691525.1, GCF 000416385.1, 0.0511726973, 0.0521045755
444, 437, GCF 009729075.1, 0.0046416620, 0.0517617827
445, GCF 900240945.1, GCF 001667505.1, 0.0395644574, 0.0437106494
446, GCF 001050035.1, 426, 0.0402798622, 0.0095034192
447, GCF 008329905.1, GCF 900453085.1, 0.0423814241, 0.0451579662
448, GCF 000526915.1, GCF 002102415.1, 0.0408029768, 0.0335600671
449, GCF 001672735.1, 420, 0.0641639886, 0.0132460168
450, GCF 010731835.1, GCF 022370835.2, 0.0716426571, 0.0689523221
451, GCF 008329585.1, GCF 001428895.1, 0.0502688957, 0.0499743523
452, GCF 017876775.1, GCF 010727325.1, 0.0464228862, 0.0487821025
453, GCF 000805385.1, GCF 000426065.1, 0.0423263622, 0.0450748228
454, GCF 025822265.1, GCF 001665685.1, 0.0418563614, 0.0539386755
455, GCF 001672755.1, GCF 002104765.1, 0.0315281137, 0.0367283992
456, GCA 028728255.1, 449, 0.0673900269, 0.0034531481
457, 442, 400, 0.0062560383, 0.0261053663
458, GCF 001942045.1, GCF 025823105.1, 0.0426835068, 0.0407361718
459, GCF 025822245.1, GCF 008329535.1, 0.0597078456, 0.0554759813
460, GCF 001650495.1, 441, 0.0670265635, 0.0069144905
461, 444, GCF 001905655.1, 0.0066202283, 0.0553354816
462, 392, GCF 020181635.1, 0.0421061435, 0.0722197864
463, GCF 002102395.1, GCF 001668625.1, 0.0713489239, 0.0666129643
464, GCF 025822865.1, GCF 001667075.1, 0.0346825337, 0.0359018694
465, GCF 002086175.1, 413, 0.0508669801, 0.0217998457
466, 461, GCF 025331195.1, 0.0023316118, 0.0579734699
467, GCF 001500125.1, GCF 001499995.1, 0.0384327343, 0.0395280586
468, 439, 454, 0.0125595112, 0.0048635228
469, 435, 401, 0.0148614054, 0.0315572318
470, GCF 001667115.1, GCF 001665395.1, 0.0546828500, 0.0603863566
471, GCF 002102225.1, GCF 900157385.1, 0.0299597003, 0.0344787216
472, 432, GCF 002086695.1, 0.0158004965, 0.0501481116
473, GCF 010729895.1, GCF 001667265.1, 0.0626742588, 0.0589645803
474, GCF 002591975.1, GCF 000243415.2, 0.0677444743, 0.0665670724
475, 458, GCF 002553535.1, 0.0047189503, 0.0439143960
476, 472, 447, 0.0012797495, 0.0095080122
477, GCF 002086395.1, GCF 025822765.1, 0.0540488592, 0.0608496940
478, 466, GCF 005670695.1, 0.0029912398, 0.0650942081
479, GCF 004014805.1, GCF 010725725.1, 0.0531868660, 0.0535303851
480, GCF 010731595.1, GCF 002086475.1, 0.0338780508, 0.0368765585
481, GCF 001665835.1, 455, 0.0399598893, 0.0055675220
482, GCF 002245615.1, GCF 001500025.1, 0.0587995128, 0.0571198884
483, GCF 000455325.1, GCF 004762045.1, 0.0464392118, 0.0518258967
484, 402, 456, 0.0340076065, 0.0087692319
485, 469, GCF 002101655.1, 0.0049896689, 0.0873130926
486, GCF 002102265.1, 484, 0.0812851343, 0.0013058185
487, GCF 001954115.1, 481, 0.0385803016, 0.0020492033
488, GCF 002102355.1, GCF 010727605.1, 0.0558781026, 0.0637135214
489, 464, GCF 001672745.1, 0.0057011223, 0.0392696796
490, GCF 019668465.1, 487, 0.0409288824, 0.0012158792
491, GCF 020217805.1, GCF 000277125.1, 0.0444071377, 0.0428258663
492, GCF 002086575.1, GCF 000759695.1, 0.0585848957, 0.0629294741
493, GCF 025822145.1, 451, 0.0650870205, 0.0116249286
494, 482, GCF 001570485.1, 0.0022163847, 0.0599254267
495, GCF 902705885.1, GCF 010723735.1, 0.0625387307, 0.0616604346
496, GCF 029167405.1, GCF 023162105.1, 0.1946841051, 0.2032501053
497, 440, GCF 001672915.1, 0.0154649666, 0.0388639232
498, GCF 025821415.1, 471, 0.0445142048, 0.0080170903
499, 431, GCF 900566085.1, 0.0221130612, 0.0799455293
500, GCF 002086125.1, GCF 001673615.1, 0.0512010153, 0.0465145971
501, GCF 002105755.1, 490, 0.0419542595, 0.0058429237
502, 491, GCF 010723675.1, 0.0055725069, 0.0473101779
503, GCF 001667775.1, GCF 001907675.1, 0.0465849841, 0.0429046201
504, GCF 022374895.2, GCF 900176255.2, 0.0642423683, 0.0639320374
505, GCF 003614435.1, GCF 001417955.1, 0.0601384280, 0.0602118316
506, 485, GCF 963378075.1, 0.0065421494, 0.0883952933
507, 478, GCF 009729415.1, 0.0074960792, 0.0769268551
508, GCF 013337765.1, GCF 010731895.1, 0.0649288631, 0.0693751924
509, GCF 008329605.1, GCF 014202335.1, 0.0715538346, 0.0811090615
510, 459, 408, 0.0134687596, 0.0353419997
511, GCF 001672575.1, 503, 0.0487718763, 0.0033324532
512, 462, 486, 0.0160796333, 0.0085106433
513, GCF 001644575.1, GCF 021648845.1, 0.0660978949, 0.0720856513
514, GCF 019456655.1, GCF 900078775.1, 0.0679680997, 0.0595389165
515, GCF 010731875.1, 508, 0.0778246274, 0.0022715915
516, GCF 001666875.1, GCF 001954135.1, 0.0580799458, 0.0617626690
517, GCF 001942625.1, GCF 019645875.1, 0.0589649950, 0.0566395146
518, GCF 002086595.1, GCF 010729305.1, 0.0507626113, 0.0538874233
519, 500, GCF 003284935.1, 0.0044737631, 0.0492592587
520, GCF 011745145.1, 452, 0.0648595133, 0.0194052831
521, GCF 000164135.1, GCF 002086735.1, 0.0431114653, 0.0458600952
522, GCF 001667015.1, GCF 001667185.1, 0.0451747542, 0.0489550513
523, GCF 001667925.1, GCF 001667145.1, 0.0658618268, 0.0617525511
524, 489, GCF 001667585.1, 0.0117877513, 0.0529777273
525, GCF 001667735.1, 511, 0.0511600162, 0.0036224909
526, 502, GCF 001667315.1, 0.0068927646, 0.0611282499
527, GCF 017086405.1, GCF 002101675.1, 0.0734537328, 0.0667596840
528, 492, GCF 003402475.1, 0.0092537616, 0.0656600932
529, 522, 498, 0.0021835758, 0.0082537733
530, 506, 512, 0.0056416854, 0.0031654926
531, GCF 025823315.1, GCF 030486405.1, 0.0547257362, 0.0586655024
532, GCF 026625985.1, GCF 010730355.1, 0.0515480970, 0.0657237789
533, 497, GCF 001673535.1, 0.0113319735, 0.0488065572
534, GCF 001187505.1, GCF 022370755.2, 0.0586822359, 0.0660572159
535, 534, GCF 001457595.1, 0.0003476495, 0.0596797877
536, 488, GCF 902168065.1, 0.0150153393, 0.0769061725
537, 483, GCF 002102345.1, 0.0133503402, 0.0665446283
538, GCF 001021385.1, GCF 008329565.1, 0.0679486404, 0.0756075323
539, 494, GCF 001499905.1, 0.0109027601, 0.0766534262
540, GCF 001050015.1, 446, 0.0666322013, 0.0242675804
541, 528, GCF 002101595.1, 0.0048334207, 0.0700804644
542, GCF 010731715.1, 532, 0.0685189052, 0.0030743094
543, GCF 002101815.1, 529, 0.0471127920, 0.0055121618
544, GCF 001665875.1, GCF 002086335.1, 0.0702067047, 0.0662087876
545, 523, 501, 0.0084366346, 0.0146430456
546, 533, GCF 001665295.1, 0.0041992117, 0.0541803581
547, 505, 527, 0.0113573050, 0.0067569011
548, GCF 001667665.1, GCF 001373515.1, 0.0571543929, 0.0546960002
549, GCF 002104675.1, GCF 000195955.2, 0.0994131222, 0.1088460752
550, GCF 013466425.1, GCF 021654635.1, 0.0933523833, 0.0732622303
551, GCF 025263485.1, GCF 025821845.1, 0.0619932970, 0.0720702210
552, 519, 545, 0.0138662931, 0.0036998509
553, 544, 552, 0.0053417773, 0.0007331930
554, GCF 900637205.1, GCF 963378085.1, 0.0675032300, 0.0764686671
555, 475, GCF 001245615.1, 0.0187319089, 0.0654035487
556, 537, 520, 0.0025269928, 0.0065410191
557, 467, GCF 002086655.1, 0.0189344462, 0.0606407865
558, GCF 015689175.1, GCF 001673155.1, 0.0791257424, 0.0791237108
559, GCF 001044245.1, GCF 022348085.1, 0.0735256262, 0.0742879050
560, GCF 001672975.1, 553, 0.0780592495, 0.0031278183
561, 548, 480, 0.0065960177, 0.0299544545
562, 504, 542, 0.0184954776, 0.0084141790
563, GCF 019456675.1, 538, 0.0720892737, 0.0054874106
564, 419, GCF 004362315.1, 0.0431236862, 0.0781976319
565, GCF 033804465.1, 515, 0.0788574609, 0.0123807376
566, GCF 025823185.1, 510, 0.0805979636, 0.0118874035
567, GCF 026723865.1, 562, 0.0877872799, 0.0023074878
568, 524, 551, 0.0177701005, 0.0076905079
569, 518, GCA 025821255.1, 0.0111438648, 0.0701051660
570, GCF 001667595.1, 525, 0.0656077627, 0.0191426848
571, GCF 002101785.1, GCF 001667035.1, 0.0698898165, 0.0765721520
572, 448, 567, 0.0401237291, 0.0029225058
573, GCF 001673405.1, GCF 022430545.2, 0.0879059693, 0.0960753740
574, 568, 561, 0.0034534873, 0.0065308707
575, GCF 019645855.1, GCF 002086215.1, 0.0821593725, 0.0731279176
576, GCF 001668725.1, 543, 0.0684187807, 0.0148745270
577, 574, 521, 0.0019721041, 0.0240454452
578, GCF 035617725.1, 560, 0.0831581727, 0.0077175718
579, GCF 025823255.1, 572, 0.0970011633, 0.0024548914
580, 438, GCF 001673315.1, 0.0432607177, 0.1083052064
581, 577, 570, 0.0014402539, 0.0050064203
582, GCF 000328565.1, GCF 014873705.1, 0.0802674603, 0.0873832146
583, GCF 009729315.1, 556, 0.0772138532, 0.0069903981
584, 434, GCF 035616495.1, 0.0514931728, 0.0722509511
585, 539, 540, 0.0104176854, 0.0095227758
586, 555, 517, 0.0092779470, 0.0175809579
587, GCF 019645835.1, 479, 0.0795146372, 0.0257739079
588, 453, 583, 0.0356744168, 0.0035704800
589, GCF 001494595.1, GCF 010731855.1, 0.0734813147, 0.0778470663
590, GCF 010725885.1, GCF 001984215.1, 0.0899831881, 0.0994965419
591, GCF 007096635.1, 559, 0.0803331494, 0.0073180113
592, 476, 563, 0.0283829854, 0.0081729887
593, 531, GCF 022179545.1, 0.0169195099, 0.0806027588
594, 586, 588, 0.0027881912, 0.0015306317
595, 513, 493, 0.0178012404, 0.0241222669
596, GCF 006439015.1, GCF 030295745.1, 0.1084608688, 0.0979657085
597, GCF 017352375.1, GCF 023015925.1, 0.1051031724, 0.0775798143
598, 557, GCF 010728155.1, 0.0091691689, 0.0878031916
599, GCF 005222675.1, GCA 026005275.1, 0.1182034588, 0.1475763014
600, 468, 427, 0.0314950934, 0.0498801723
601, 443, GCF 002086115.1, 0.0395102399, 0.0831264259
602, 564, 565, 0.0094056586, 0.0081845475
603, 593, 594, 0.0034418094, 0.0032980959
604, 516, GCF 019050325.1, 0.0237986201, 0.1103269356
605, GCF 010731695.1, GCF 014218295.1, 0.0723759010, 0.0692079774
606, 604, 603, 0.0021318437, 0.0024239627
607, 530, GCF 018455725.1, 0.0198572236, 0.1057017544
608, GCF 026041215.1, GCF 012932915.1, 0.2475972834, 0.2098818079
609, 526, 578, 0.0287196967, 0.0067995274
610, 608, 496, 0.0018198674, 0.0272771308
611, GCF 030252325.1, 573, 0.0941601833, 0.0083006249
612, GCF 026242035.1, GCF 002250655.1, 0.0951850786, 0.0895491365
613, GCF 002086415.1, 425, 0.1090673045, 0.0535627346
614, GCF 900157375.1, GCF 002356315.1, 0.0883613849, 0.0920125471
615, 546, 576, 0.0228211995, 0.0097108238
616, 507, GCF 029892685.1, 0.0273908619, 0.1138478528
617, 457, GCF 011758805.1, 0.0395996169, 0.0958724379
618, 612, 602, 0.0028428884, 0.0062073626
619, 474, 417, 0.0323485447, 0.0534072015
620, GCF 016313185.1, 605, 0.0824569063, 0.0046196545
621, 536, GCF 001665235.1, 0.0276265126, 0.0946636113
622, GCF 025822705.1, GCF 900108565.1, 0.0783582091, 0.0771894884
623, GCF 010723305.1, GCF 018361265.1, 0.1582408020, 0.1575962579
624, 499, GCF 008370645.1, 0.0373430046, 0.1332764610
625, GCF 009741445.1, 609, 0.0817499381, 0.0075233133
626, GCF 010731535.1, 549, 0.1086626229, 0.0252652680
627, 621, 579, 0.0037124952, 0.0146741967
628, 589, GCF 011694515.1, 0.0124319286, 0.0930425565
629, GCF 010726955.1, GCF 002553575.1, 0.1000805856, 0.1081322521
630, 422, 626, 0.0674036107, 0.0021343215
631, 575, 571, 0.0181097807, 0.0187485044
632, 614, GCF 900157365.1, 0.0091557461, 0.1093278950
633, 580, GCF 001673365.1, 0.0161921984, 0.1177638225
634, GCF 002086635.1, 615, 0.0930580460, 0.0091436505
635, GCF 002086755.1, 630, 0.1155538941, 0.0026238316
636, 624, GCF 900292015.1, 0.0059613230, 0.1372189824
637, GCF 002102025.1, GCF 902652685.1, 0.0959706336, 0.0901473465
638, 631, 634, 0.0041614337, 0.0020298969
639, 554, GCF 963378095.1, 0.0225867664, 0.1028333693
640, 592, 618, 0.0138959305, 0.0059104776
641, 633, 547, 0.0045888456, 0.0333902243
642, 433, GCF 018278905.1, 0.0693639849, 0.1539701864
643, 636, 389, 0.0054491093, 0.1164347223
644, 642, 635, 0.0019226388, 0.0066362053
645, 637, GCF 002101875.1, 0.0046478852, 0.1068625221
646, 463, 450, 0.0478207244, 0.0526337270
647, 632, 627, 0.0092589105, 0.0116405049
648, 641, 550, 0.0048109674, 0.0371221293
649, 581, 625, 0.0264365552, 0.0135646187
650, 584, 638, 0.0250735310, 0.0089280548
651, 645, GCF 010730575.1, 0.0047131057, 0.1065186114
652, 643, 644, 0.0063612720, 0.0059546665
653, GCF 002723835.1, 640, 0.0903883853, 0.0023418703
654, 541, GCF 002101905.1, 0.0361822440, 0.1283905916
655, 623, 613, 0.0145601383, 0.0194301359
656, GCF 001672685.1, 649, 0.1062896785, 0.0048840003
657, 652, 430, 0.0023982654, 0.0800863798
658, 654, GCF 002102185.1, 0.0015034366, 0.1209205613
659, GCF 010730195.1, 650, 0.1159738336, 0.0054280400
660, GCF 010727945.1, 611, 0.1121007508, 0.0172382383
661, 651, 656, 0.0057022757, 0.0026636041
662, 657, 470, 0.0032394243, 0.0684257499
663, 662, 659, 0.0015089949, 0.0035673681
664, 648, 424, 0.0097944684, 0.0860390902
665, GCF 007714205.1, 661, 0.1190652208, 0.0044610399
666, 663, 647, 0.0040328468, 0.0140558775
667, 666, 665, 0.0011772865, 0.0024423833
668, 658, GCF 001672775.1, 0.0072151993, 0.1223309118
669, 596, 566, 0.0126881643, 0.0179043280
670, 598, 620, 0.0123810081, 0.0051007144
671, GCF 000230895.2, 619, 0.1029804843, 0.0051199223
672, GCF 001672895.1, 465, 0.0918814216, 0.0403527739
673, 664, 558, 0.0064806480, 0.0495704543
674, GCF 002968285.1, GCF 033741175.1, 0.1127911166, 0.0949806333
675, 673, 667, 0.0013700968, 0.0038584067
676, 585, GCF 003284965.1, 0.0145004514, 0.0986259015
677, 668, 655, 0.0049056016, 0.0138269217
678, GCF 029893345.1, 606, 0.0976450896, 0.0117321033
679, 628, GCF 022760805.1, 0.0096481136, 0.0994391148
680, 677, GCF 910591625.1, 0.0015812468, 0.1517425573
681, 514, 595, 0.0334555781, 0.0151955975
682, GCF 010731615.1, 629, 0.1176127355, 0.0111469090
683, GCF 002007745.1, 653, 0.1031426208, 0.0080994930
684, GCF 004745805.1, 683, 0.1086982497, 0.0008502997
685, GCF 033741125.1, GCF 010729665.1, 0.0953746606, 0.0991870153
686, GCF 025821625.1, 599, 0.0944334089, 0.0133685145
687, 601, 681, 0.0173049439, 0.0034473029
688, GCF 029623955.1, 460, 0.1058129976, 0.0405325725
689, 685, 669, 0.0032722893, 0.0069893535
690, GCF 010731735.1, 410, 0.1043737512, 0.0680388935
691, GCF 000620625.1, 509, 0.1058963965, 0.0375482765
692, GCF 033804635.1, GCF 033804625.1, 0.1185740505, 0.1105272145
693, 676, 672, 0.0050259823, 0.0066444819
694, GCF 010726645.1, GCF 025263265.1, 0.0975017483, 0.1061852270
695, GCF 001545925.1, GCF 025263565.1, 0.0630906196, 0.0877966304
696, 418, GCF 900454025.1, 0.0599427311, 0.0951794063
697, GCF 003719305.1, 674, 0.1136815917, 0.0069137874
698, 670, GCF 001499965.1, 0.0082216151, 0.0937694602
699, 695, GCF 000295825.1, 0.0030789540, 0.0875317349
700, 679, 684, 0.0086776548, 0.0059208141
701, 495, GCF 013390125.1, 0.0402512912, 0.1159750009
702, 701, 686, 0.0003751529, 0.0064647120
703, 477, 671, 0.0465357703, 0.0101159623
704, 680, 660, 0.0068789642, 0.0186923403
705, 445, 582, 0.0587315192, 0.0270176709
706, GCF 001668615.1, 697, 0.1124679698, 0.0046558508
707, 607, GCF 004354905.1, 0.0326372367, 0.1342273487
708, GCF 014190915.1, 688, 0.1018000763, 0.0092236233
709, 699, GCF 000612725.1, 0.0062398603, 0.0997270659
710, GCF 015710575.1, 590, 0.1250052388, 0.0304850355
711, 569, 591, 0.0286511329, 0.0248325651
712, 600, GCF 000612825.1, 0.0274662242, 0.1023557894
713, 692, GCF 024320865.1, 0.0099562499, 0.1309486348
714, 535, GCF 002101965.1, 0.0424269720, 0.1025359447
715, GCF 032883035.1, 678, 0.1439581682, 0.0143472608
716, 696, 708, 0.0128830625, 0.0063298720
717, 617, 687, 0.0239274816, 0.0125326117
718, 436, 757, 0.0822465664, 0.0168351883
719, 704, 675, 0.0085704359, 0.0182916783
720, 712, 715, 0.0060663815, 0.0034572014
721, GCF 002553505.1, 706, 0.1157752405, 0.0072737057
722, 709, 716, 0.0070437249, 0.0027120344
723, 714, 720, 0.0062750595, 0.0025838097
724, 707, 646, 0.0089593200, 0.0284965564
725, 639, 473, 0.0269621733, 0.0649684457
726, GCF 008329645.1, 690, 0.1034180842, 0.0147074088
727, GCF 001049355.1, 722, 0.1187884299, 0.0023525974
728, 705, GCF 003201655.1, 0.0097298364, 0.1216634998
729, 713, 691, 0.0077803601, 0.0173209661
730, GCF 019710635.1, 412, 0.1106834669, 0.0836108946
731, 729, GCF 022557175.1, 0.0019561057, 0.1335920946
732, 698, 597, 0.0153471513, 0.0359216145
733, 732, GCF 004570325.1, 0.0010879631, 0.1017192496
734, 731, 726, 0.0026472317, 0.0074486470
735, 734, 689, 0.0014239036, 0.0238910888
736, GCF 009192875.1, 622, 0.0990935176, 0.0272120674
737, GCF 000234585.1, GCF 900603025.1, 0.1318524213, 0.1206345414
738, 693, GCF 022317005.1, 0.0192324991, 0.1188316650
739, 702, 727, 0.0230223656, 0.0096493265
740, 724, 719, 0.0088158616, 0.0115026517
741, 738, 736, 0.0046143607, 0.0066944016
742, 711, 730, 0.0195902612, 0.0096408259
743, 742, 694, 0.0004005859, 0.0282450587
744, 743, 739, 0.0018774342, 0.0046156598
745, GCF 025345615.1, 703, 0.1230728914, 0.0230330587
746, 741, 587, 0.0037791255, 0.0455038636
747, 728, 745, 0.0137760378, 0.0019972099
748, 733, GCF 025821665.1, 0.0101109827, 0.1191883741
749, GCF 002838065.1, 721, 0.1277274989, 0.0155959708
750, 746, 747, 0.0036674094, 0.0029250744
751, 750, 749, 0.0034031673, 0.0039156040
752, 751, 737, 0.0025024312, 0.0140623006
753, 616, 717, 0.0423676170, 0.0167258431
754, GCF 025822605.1, 710, 0.1500596032, 0.0165308990
755, GCF 002592005.1, 682, 0.1307609804, 0.0265517245
756, 725, 755, 0.0122027026, 0.0012551885
757, 760, 740, 0.0041569411, 0.0064169125
758, 756, 754, 0.0034875965, 0.0053661813
759, 758, 700, 0.0014634392, 0.0286825481
760, 762, GCF 021213805.1, 0.0028573976, 0.1417704724
761, 735, 753, 0.0149867798, 0.0058015576
762, 763, 759, 0.0032648055, 0.0045678158
763, 766, 761, 0.0025814638, 0.0038011177
764, 748, 744, 0.0090194158, 0.0119386664
765, 752, 723, 0.0073426216, 0.0227889376
766, 765, 764, 0.0009843017, 0.0021262529
767, 718, 610, 0.0145051161, 0.0195831414
